sample_id,user_hash,timestamp,method,true_latitude,true_longitude,estimated_latitude,estimated_longitude,error_radius_m,signal_strength,num_base_stations,urban_density,weather_condition,time_of_day,day_of_week,actual_error_m
1,b4dd4e1b,2025-07-11T08:39:02.419457,gps,-6.0366582056615625,106.78898176265486,-6.036674882580098,106.7889779743009,14.549223634622983,-76,1,high,rainy,8,4,1.9011162599965323
2,3f49044c,2025-07-05T13:20:02.419511,cell_id,-6.046012367918928,106.66733282124154,-6.036429489891476,106.65444644833094,3171.4363643706934,-72,7,high,cloudy,13,5,1779.2954960207428
3,15e1576a,2025-07-02T13:46:02.419523,cell_id,-6.297958113840336,106.79651057041748,-6.30640719449238,106.7784355578889,2481.1190088528842,-59,7,low,cloudy,13,2,2207.593895460527
4,a6f601b7,2025-07-13T11:06:02.419531,triangulation,-6.066035965501037,106.97198278991333,-6.0688070561316785,106.97304879127614,373.6342176337989,-56,6,high,rainy,11,6,329.9063067703275
5,bb640eb8,2025-07-06T03:40:02.419549,cell_id,-6.180894426773113,106.64310433521139,-6.177385381940195,106.6411916938881,998.4927491297813,-78,1,low,rainy,3,6,443.79466992844044
6,fa890200,2025-06-28T23:54:02.419562,cell_id,-5.946926168413923,106.76696029709814,-5.948964844254374,106.76523079132276,460.49221200043814,-81,3,low,clear,23,5,296.60649361451715
7,1ab162d0,2025-06-17T21:29:02.419578,wifi,-6.25343954208847,106.8293482304369,-6.253787240272484,106.82956688111362,79.77337484705673,-85,3,high,clear,21,1,45.59464833598388
8,0af19a1d,2025-06-27T10:21:02.419585,triangulation,-6.145021673437913,106.95719485803862,-6.137713166740546,106.94700594251364,1838.3898170097916,-42,3,low,rainy,10,4,1389.0026944548347
9,21e3e8ec,2025-06-28T02:15:02.419590,gps,-6.267710708349338,106.71051919346291,-6.267748403639573,106.71054887695584,12.937629410348828,-47,1,medium,rainy,2,5,5.322907820759107
10,76df56a2,2025-06-23T03:06:02.419596,cell_id,-5.951501087295041,106.71933697997434,-5.941184648597513,106.72092789375263,1301.380898428041,-57,7,low,cloudy,3,0,1160.5509387649365
11,143992f0,2025-06-28T02:49:02.419602,cell_id,-6.254203765284331,106.9381219251595,-6.26661804934523,106.95134218350317,1684.4401944289127,-39,7,medium,cloudy,2,5,2010.1735189944418
12,b7843d8a,2025-07-10T19:22:02.419608,triangulation,-5.929852055370967,106.61965993970988,-5.942746628361147,106.6065421949169,1519.8531494513852,-41,8,low,clear,19,3,2039.7668376694048
13,afdab7ac,2025-07-06T19:51:02.419613,gps,-6.355457615052227,106.7675039917028,-6.355485764377957,106.76752603085258,5.096415510698193,-70,5,medium,clear,19,6,3.9660234919952444
14,684190ab,2025-07-01T05:42:02.419622,cell_id,-5.9385784344055494,106.85940222549577,-5.941145550476033,106.8589869958088,563.1008047431844,-88,6,medium,cloudy,5,1,289.1207981920513
15,7f6ba237,2025-07-04T23:33:02.419632,cell_id,-6.21275412381553,106.77750026106055,-6.191587855678459,106.80435281476645,4332.087158410164,-43,4,low,cloudy,23,4,3788.230714370519
16,ce11f5ec,2025-06-20T05:51:02.419638,wifi,-5.988318378035113,106.80266031351228,-5.988391622733676,106.80211720331968,87.35130919929466,-31,5,low,clear,5,4,60.61123490164642
17,b29ed66f,2025-06-21T18:04:02.419643,triangulation,-6.231341289468317,106.75047969323866,-6.230936186682945,106.74909832222612,337.6186487684004,-65,4,medium,rainy,18,5,159.1996868704148
18,27766212,2025-07-13T13:40:02.419648,gps,-6.10858862384871,106.91832486998793,-6.108629110491584,106.91828056834079,5.796536750837516,-69,2,low,clear,13,6,6.652746685818282
